Timestamp,Action,Scheduled Time
2025-07-30 11:51:05,Daily Shutdown Scheduled,11:52 AM
2025-07-30 12:08:13,Daily Shutdown Scheduled,11:52 AM
2025-07-30 12:08:16,Daily shutdown schedule stopped,11:52 AM
2025-07-30 12:08:16,Daily Shutdown Scheduled,11:52 AM
2025-07-30 12:08:17,Daily shutdown schedule stopped,11:52 AM
